,compound,date,negative,neutral,positive,source,tweet_text
39,-0.6486,2018-04-02 14:29:17,0.193,0.807,0.0,FoxNews,"JUST IN: Winnie Mandela, South African anti-apartheid campaigner and former wife of Nelson Mandela, dead at 81, Fox… https://t.co/TTLPNzaVHw"
40,0.0,2018-04-02 15:52:43,0.0,1.0,0.0,BBCWorld,Who was Winnie Mandela? https://t.co/LxB4GjqIxD
41,-0.6124,2018-04-02 15:46:50,0.46,0.403,0.137,BBCWorld,Colombian prisoners get guard drunk and escape https://t.co/iYlqrLxR5V
42,-0.5574,2018-04-02 15:45:05,0.159,0.841,0.0,BBCWorld,"Retired South African archbishop Desmond Tutu hails Winnie Mandela, who has died aged 81, as ""a defining symbol of… https://t.co/vMpgJrEoM3"
43,-0.6597,2018-04-02 15:42:53,0.197,0.803,0.0,BBCWorld,"RT @BBCSteveR: Russia's Foreign Minister Sergei Lavrov tells me why current tension between Moscow &amp; the West ""is worse now than in the old…"
44,-0.2023,2018-04-02 15:31:08,0.167,0.833,0.0,BBCWorld,"The life of Winnie Mandela, a controversial anti-apartheid political icon https://t.co/Upw6nmGpZh"
45,0.3182,2018-04-02 14:59:26,0.0,0.635,0.365,BBCWorld,Egypt's al-Sisi secures victory https://t.co/KjyFDueV9O
46,0.0,2018-04-02 14:25:48,0.0,1.0,0.0,BBCWorld,Malala's brief but revealing homecoming to Pakistan https://t.co/xYvMYc6S1A
47,-0.5574,2018-04-02 14:05:41,0.184,0.816,0.0,BBCWorld,"RT @BBCBreaking: South African anti-apartheid campaigner Winnie Mandela has died aged 81, her personal assistant says https://t.co/krdVvFLY…"
48,0.3818,2018-04-02 13:43:49,0.0,0.847,0.153,BBCWorld,"RT @BBCRosAtkins: Back in Jan 2017, my show Outside Source decided to try a self-monitoring system to increase our number of women contribu…"
49,0.34,2018-04-02 13:36:50,0.0,0.861,0.139,BBCWorld,RT @BBCRosAtkins: This is a video the BBC’s made to show how a self-monitoring system we introduced on @BBCOS has increased the number of w…
50,-0.34,2018-04-02 13:21:13,0.211,0.789,0.0,BBCWorld,Russian spy: Sergei Lavrov accuses West of 'children's games' https://t.co/qZMyMGJoyV
51,0.0,2018-04-02 13:16:31,0.0,1.0,0.0,BBCWorld,German dachshund museum in Passau 'a world first' https://t.co/qqZfqy7uSL
52,0.0,2018-04-02 12:40:05,0.0,1.0,0.0,BBCWorld,Israel scraps African migrant deportation plan https://t.co/yJLSu401ER
53,-0.6908,2018-04-02 12:40:05,0.416,0.584,0.0,BBCWorld,Syria war: Rebels 'begin leaving last Eastern Ghouta town' https://t.co/qO8ttjlm34
54,-0.4939,2018-04-02 12:30:43,0.314,0.686,0.0,BBCWorld,Luxury ride for stolen livestock in Uzbekistan https://t.co/daAKoXZqAi
55,-0.7351,2018-04-02 12:23:34,0.508,0.492,0.0,BBCWorld,Four dead in massive India caste protests https://t.co/oVYWfnmx66
56,-0.765,2018-04-02 12:11:08,0.569,0.431,0.0,BBCWorld,Tesla rebuked by death crash investigators https://t.co/9ZdTZEfuNv
57,-0.4215,2018-04-02 11:52:27,0.259,0.741,0.0,BBCWorld,Commonwealth Games 2018: India boxing coach denies doping https://t.co/kUL9W8u7Ay
58,0.0,2018-04-02 11:09:08,0.0,1.0,0.0,BBCWorld,Costa Rica president-elect Carlos Alvarado calls for unity https://t.co/TrW8kZzCzY
59,0.5423,2018-04-02 09:59:06,0.0,0.72,0.28,BBCWorld,Kim Jong-un 'moved' by K-pop peace concert in Pyongyang https://t.co/tijzVprAgQ
60,0.128,2018-04-02 16:51:49,0.0,0.87,0.13,CBSNews,Congressional Democrats raise ethics questions about Trump defense fund https://t.co/n0aG5IFtd2 https://t.co/mdN3GCZkmj
61,0.0,2018-04-02 16:30:32,0.0,1.0,0.0,CBSNews,"Reporter: ""Mr. President, what about the DACA kids?""
Pres. Trump: ""The Democrats have really let them down.""
The pr… https://t.co/a7QJVCKqbQ"
62,0.0,2018-04-02 16:15:25,0.0,1.0,0.0,CBSNews,"Winnie Madikizela-Mandela, the ex-wife of former South African leader Nelson Mandela -- and a political force and c… https://t.co/7QlgDL3gga"
63,0.0,2018-04-02 16:01:01,0.0,1.0,0.0,CBSNews,Kremlin says President Trump invited Russian President Vladimir Putin to the White House https://t.co/mCoDVmE0C9 https://t.co/s7IkH0xepf
64,-0.3612,2018-04-02 15:46:01,0.152,0.848,0.0,CBSNews,"President Trrump defends Sinclair Broadcast after Deadspin video shows anchors reading a script criticizing ""fake""… https://t.co/PENwsHCezG"
65,0.4019,2018-04-02 15:30:01,0.07,0.742,0.188,CBSNews,Syria's Assad poised for another huge symbolic victory as the biggest rebel group in eastern Ghouta suburbs of Dama… https://t.co/Ooh8DPQ6DU
66,0.3818,2018-04-02 15:15:41,0.0,0.885,0.115,CBSNews,"A 13 year old who fell into a Los Angeles sewage pipe has been found alive after 8 hours in the ""toxic environment… https://t.co/Ipjrcll50R"
67,-0.6124,2018-04-02 15:00:02,0.385,0.615,0.0,CBSNews,Kremlin insists billionaire's arrest part of anti-corruption fight https://t.co/XSTFfqom4I https://t.co/V8dAXoW42B
68,0.0,2018-04-02 14:53:35,0.0,1.0,0.0,CBSNews,The Easter Egg Roll -- one of the oldest White House traditions -- kicks off after remarks from @POTUS. Members of… https://t.co/VFaqLIvCip
69,0.3327,2018-04-02 14:50:21,0.0,0.899,0.101,CBSNews,“Our military is at a level where it has never been before….The funding of our military was so important and so man… https://t.co/F8q3TCZAN4
70,0.5423,2018-04-02 14:49:16,0.0,0.824,0.176,CBSNews,"“Our country is doing great. You look at the economy. You look at what is happening. Nothing’s ever easy, but we ha… https://t.co/vgjv53XWIz"
71,0.302,2018-04-02 14:47:28,0.069,0.779,0.152,CBSNews,"“I want to really thank the first lady, Melania, who has done an incredible job. She worked so hard on this event a… https://t.co/4cwNWykO9Q"
72,-0.8481,2018-04-02 14:45:01,0.535,0.465,0.0,CBSNews,Sheriff's deputy's vehicle strikes activist protesting Stephon Clark's death https://t.co/4G5Vc2Hcur https://t.co/B1P3mMZt1V
73,0.0,2018-04-02 14:45:01,0.0,1.0,0.0,CBSNews,"Former New Jersey Gov. Chris Christie on EPA Administrator Scott Pruitt controversy: ""I don't know how you survive… https://t.co/zyzChLdVs7"
74,0.0,2018-04-02 14:44:02,0.0,1.0,0.0,CBSNews,"WATCH: President Trump and first lady Melania Trump host the annual ""Easter Egg Roll"" at the White House… https://t.co/0TfDZpIdA3"
75,-0.765,2018-04-02 14:33:33,0.28,0.72,0.0,CBSNews,"Madikizela-Mandela was, along with her ex-husband, a key figure in the fight to end the racist Apartheid system imp… https://t.co/4zJ1mlOk9I"
76,-0.5574,2018-04-02 14:31:02,0.175,0.825,0.0,CBSNews,"Winnie Madikizela-Mandela, Nelson Mandela's wife, has passed away at 81. ""She died after a long illness... She succ… https://t.co/IxdZM6bG3O"
77,0.0,2018-04-02 14:30:01,0.0,1.0,0.0,CBSNews,5 tips for Mark Zuckerberg's day in Congress: PR pros who prep CEOs for such high-stakes public grillings have stro… https://t.co/bHchCZp5Vs
78,0.0,2018-04-02 14:15:03,0.0,1.0,0.0,CBSNews,China's tariff hikes: Here are the U.S. products getting hit https://t.co/cSiIu9dLzG https://t.co/Tv5UlYJAIn
79,-0.5267,2018-04-02 14:00:02,0.221,0.779,0.0,CBSNews,"President Trump says he wants skilled immigrants, but raises new obstacles https://t.co/d1YKuGhlqr https://t.co/95kqlLWI6d"
80,0.0,2018-04-02 17:02:09,0.0,1.0,0.0,CNN,"A family's SUV found at the bottom of a California cliff last week may have been deliberately driven off the road,… https://t.co/cCZRaFKWvj"
81,-0.34,2018-04-02 16:50:27,0.112,0.888,0.0,CNN,Democratic Rep. John Garamendi on President Trump's comments that Democrats are to blame for not having a deal on D… https://t.co/ZCA2WWv3Sc
82,-0.5267,2018-04-02 16:40:03,0.224,0.702,0.075,CNN,President Trump's attacks on Amazon are working. The company's stock sank 5% Monday after the President accused it… https://t.co/ExjxHHfLoF
83,-0.5106,2018-04-02 16:33:36,0.202,0.798,0.0,CNN,This ancient Chinese art was at risk of becoming obsolete. Here's how Dragon scale bookbinding is being resurrected… https://t.co/2sq6WpMqbA
84,-0.875,2018-04-02 16:23:01,0.37,0.63,0.0,CNN,"President Trump says ""our country is being stolen"" due to an influx of illegal immigration, blaming Democrats for w… https://t.co/6BEn0qGJaA"
85,0.0,2018-04-02 16:11:06,0.0,1.0,0.0,CNN,John Oliver compares Sinclair news anchors to “members of a brainwashed cult” https://t.co/X8xGi5jwad https://t.co/aRhiapjGCh
86,0.2732,2018-04-02 16:02:03,0.08,0.76,0.16,CNN,"RT @CNNnewsroom: ""Instead of finding logical sources for funding, they just want to cut and take away... Our kids deserve better"" says a Ke…"
87,0.1779,2018-04-02 16:01:31,0.088,0.793,0.119,CNN,Rescuers in Southern California spotted and freed a 13-year-old boy who was stuck in a maze of drainage pipes for a… https://t.co/BWqLvxe86t
88,0.6369,2018-04-02 15:59:09,0.0,0.682,0.318,CNN,The best travel photos of 2018 (so far) https://t.co/lhcuCYTYnn https://t.co/Qc11bBFpcg
89,0.3818,2018-04-02 15:55:48,0.0,0.852,0.148,CNN,RT @CNNMoney: McDonald's is tripling its tuition benefits because of the new tax law https://t.co/12QVVaIKVR https://t.co/7ljjVYO8qw
90,0.4404,2018-04-02 15:47:34,0.0,0.847,0.153,CNN,Apple is proposing 13 new emojis in an effort to better represent people with disabilities https://t.co/0LtHvSiV3b https://t.co/FlN4JhxTr5
91,0.0,2018-04-02 15:37:15,0.0,1.0,0.0,CNN,"RT @CNNnewsroom: ""We would much rather be in our classrooms teaching today. I would much rather be with my students but... I need to be her…"
92,0.0,2018-04-02 15:35:34,0.171,0.702,0.127,CNN,"Teachers in Oklahoma are walking out of school in protest, demanding better salaries and funding from lawmakers.

W… https://t.co/NAhcoZjFw8"
93,-0.9217,2018-04-02 15:30:12,0.437,0.563,0.0,CNN,A gun attack by the terror group Boko Haram in northeastern Nigeria on Sunday night left 18 people dead and wounded… https://t.co/Ty0jaG4CiN
94,0.5267,2018-04-02 15:23:36,0.0,0.805,0.195,CNN,Who stands to gain if President Trump pulls the US out of Syria? https://t.co/9eoSqIuDZ3 https://t.co/1DCTPj1pT9
95,-0.0478,2018-04-02 15:11:08,0.159,0.693,0.149,CNN,President Trump's latest dog whistle on immigration is more like a scream | Analysis by @CillizzaCNN… https://t.co/KG4262xGSB
96,0.0,2018-04-02 15:03:56,0.0,1.0,0.0,CNN,Teachers in Kentucky are walking off the job today and holding rallies at the state Capitol over pension changes… https://t.co/t4812bM1cU
97,0.0,2018-04-02 14:55:17,0.0,1.0,0.0,CNN,JUST IN: White House confirms President Trump and Russian President Vladimir Putin discussed the possibility of mee… https://t.co/B3bJx9FNol
98,0.34,2018-04-02 14:50:07,0.0,0.862,0.138,CNN,She was too short to play Goofy. Then she invented Spanx. Now she's a billionaire. https://t.co/8UBc6YV2IU https://t.co/Bh70SauZNt
99,0.0,2018-04-02 14:43:10,0.0,1.0,0.0,CNN,President Trump and first lady Melania Trump are hosting the 140th annual White House Easter Egg Roll… https://t.co/5T3U6IUatM
100,0.128,2018-04-02 16:51:49,0.0,0.87,0.13,CBSNews,Congressional Democrats raise ethics questions about Trump defense fund https://t.co/n0aG5IFtd2 https://t.co/mdN3GCZkmj
101,0.0,2018-04-02 16:30:32,0.0,1.0,0.0,CBSNews,"Reporter: ""Mr. President, what about the DACA kids?""
Pres. Trump: ""The Democrats have really let them down.""
The pr… https://t.co/a7QJVCKqbQ"
102,0.0,2018-04-02 16:15:25,0.0,1.0,0.0,CBSNews,"Winnie Madikizela-Mandela, the ex-wife of former South African leader Nelson Mandela -- and a political force and c… https://t.co/7QlgDL3gga"
103,0.0,2018-04-02 16:01:01,0.0,1.0,0.0,CBSNews,Kremlin says President Trump invited Russian President Vladimir Putin to the White House https://t.co/mCoDVmE0C9 https://t.co/s7IkH0xepf
104,-0.3612,2018-04-02 15:46:01,0.152,0.848,0.0,CBSNews,"President Trrump defends Sinclair Broadcast after Deadspin video shows anchors reading a script criticizing ""fake""… https://t.co/PENwsHCezG"
105,0.4019,2018-04-02 15:30:01,0.07,0.742,0.188,CBSNews,Syria's Assad poised for another huge symbolic victory as the biggest rebel group in eastern Ghouta suburbs of Dama… https://t.co/Ooh8DPQ6DU
106,0.3818,2018-04-02 15:15:41,0.0,0.885,0.115,CBSNews,"A 13 year old who fell into a Los Angeles sewage pipe has been found alive after 8 hours in the ""toxic environment… https://t.co/Ipjrcll50R"
107,-0.6124,2018-04-02 15:00:02,0.385,0.615,0.0,CBSNews,Kremlin insists billionaire's arrest part of anti-corruption fight https://t.co/XSTFfqom4I https://t.co/V8dAXoW42B
108,0.0,2018-04-02 14:53:35,0.0,1.0,0.0,CBSNews,The Easter Egg Roll -- one of the oldest White House traditions -- kicks off after remarks from @POTUS. Members of… https://t.co/VFaqLIvCip
109,0.3327,2018-04-02 14:50:21,0.0,0.899,0.101,CBSNews,“Our military is at a level where it has never been before….The funding of our military was so important and so man… https://t.co/F8q3TCZAN4
110,0.5423,2018-04-02 14:49:16,0.0,0.824,0.176,CBSNews,"“Our country is doing great. You look at the economy. You look at what is happening. Nothing’s ever easy, but we ha… https://t.co/vgjv53XWIz"
111,0.302,2018-04-02 14:47:28,0.069,0.779,0.152,CBSNews,"“I want to really thank the first lady, Melania, who has done an incredible job. She worked so hard on this event a… https://t.co/4cwNWykO9Q"
112,-0.8481,2018-04-02 14:45:01,0.535,0.465,0.0,CBSNews,Sheriff's deputy's vehicle strikes activist protesting Stephon Clark's death https://t.co/4G5Vc2Hcur https://t.co/B1P3mMZt1V
113,0.0,2018-04-02 14:45:01,0.0,1.0,0.0,CBSNews,"Former New Jersey Gov. Chris Christie on EPA Administrator Scott Pruitt controversy: ""I don't know how you survive… https://t.co/zyzChLdVs7"
114,0.0,2018-04-02 14:44:02,0.0,1.0,0.0,CBSNews,"WATCH: President Trump and first lady Melania Trump host the annual ""Easter Egg Roll"" at the White House… https://t.co/0TfDZpIdA3"
115,-0.765,2018-04-02 14:33:33,0.28,0.72,0.0,CBSNews,"Madikizela-Mandela was, along with her ex-husband, a key figure in the fight to end the racist Apartheid system imp… https://t.co/4zJ1mlOk9I"
116,-0.5574,2018-04-02 14:31:02,0.175,0.825,0.0,CBSNews,"Winnie Madikizela-Mandela, Nelson Mandela's wife, has passed away at 81. ""She died after a long illness... She succ… https://t.co/IxdZM6bG3O"
117,0.0,2018-04-02 14:30:01,0.0,1.0,0.0,CBSNews,5 tips for Mark Zuckerberg's day in Congress: PR pros who prep CEOs for such high-stakes public grillings have stro… https://t.co/bHchCZp5Vs
118,0.0,2018-04-02 14:15:03,0.0,1.0,0.0,CBSNews,China's tariff hikes: Here are the U.S. products getting hit https://t.co/cSiIu9dLzG https://t.co/Tv5UlYJAIn
119,-0.5267,2018-04-02 14:00:02,0.221,0.779,0.0,CBSNews,"President Trump says he wants skilled immigrants, but raises new obstacles https://t.co/d1YKuGhlqr https://t.co/95kqlLWI6d"
120,0.0,2018-04-02 16:59:22,0.0,1.0,0.0,nytimes,"President Trump suggested Putin visit the White House, officials say https://t.co/WcdFrTkGk1"
121,0.2263,2018-04-02 16:48:04,0.0,0.909,0.091,nytimes,RT @nytpolitics: He's been a Muppet wrangler and the U.S. ambassador to France. Now Charles Rivkin is Hollywood's head cheerleader. https:/…
122,0.0,2018-04-02 16:38:04,0.108,0.784,0.108,nytimes,"As vaping rises at high schools and middle schools, officials are worried e-cigarettes are creating a new generatio… https://t.co/PSMW4B4CV9"
123,-0.0258,2018-04-02 16:28:07,0.217,0.569,0.214,nytimes,"Last fall, we shared readers' 13-word stories of romance, obsession and heartbreak. Here are some more of the thous… https://t.co/oytdtBXYvW"
124,-0.5574,2018-04-02 16:18:05,0.159,0.841,0.0,nytimes,"Steven Bochco, the producer of “Hill Street Blues” and “NYPD Blue,” died on Sunday. His gritty police dramas change… https://t.co/TDhOqQuazn"
125,-0.5994,2018-04-02 16:08:07,0.224,0.776,0.0,nytimes,RT @TimHerrera: Stop wasting money and finally start that budget. Here are some tips to get you going. https://t.co/ufXXY3Hozb
126,0.0,2018-04-02 15:58:05,0.0,1.0,0.0,nytimes,The race to automate stores is underway https://t.co/NYywyTdden
127,0.3612,2018-04-02 15:48:02,0.0,0.878,0.122,nytimes,"A 77-year-old who owns an estimated 75 guns: ""It'll go away. Like all the other times.""
A 17-year-old who protests:… https://t.co/lLYxoinohJ"
128,0.5574,2018-04-02 15:38:01,0.0,0.777,0.223,nytimes,Review: NBC’s “Jesus Christ Superstar” may have finally justified the recent live musical fad on network TV https://t.co/xoRihJn7JS
129,-0.25,2018-04-02 15:28:01,0.199,0.677,0.124,nytimes,"The government of Malaysia is moving to outlaw ""fake news."" Critics say the move is intended to stifle free speech… https://t.co/aNk1o7gmHb"
130,0.431,2018-04-02 15:18:01,0.0,0.89,0.11,nytimes,"RT @NYTScience: When he was 12, his video went viral. That's when he discovered that maybe it's not correcting bad science that audiences o…"
131,-0.1295,2018-04-02 15:08:08,0.148,0.736,0.117,nytimes,California's governor pardoned 5 ex-convicts who were facing possible deportation. President Trump wasn't pleased. https://t.co/ZULUDAIMpN
132,-0.34,2018-04-02 14:58:02,0.091,0.909,0.0,nytimes,RT @nytopinion: People who don’t own guns understand that some need to own one; and gun owners understand the need to keep other people saf…
133,0.0,2018-04-02 14:48:02,0.0,1.0,0.0,nytimes,"The women’s Final Four ended on Sunday for Notre Dame just as the semifinals had on Friday, with Arike Ogunbowale h… https://t.co/CztABtxyNv"
134,0.0,2018-04-02 14:38:02,0.0,1.0,0.0,nytimes,"""I turned and stared down the aisle where a kid who looked about 18 was aiming an AR-15 the salesman had handed him… https://t.co/lF9PGhRwVt"
135,-0.8442,2018-04-02 14:30:32,0.412,0.588,0.0,nytimes,"Winnie Madikizela-Mandela, whose fight against apartheid was later overshadowed by scandal, has died at 81 https://t.co/1CsDdgTHI8"
136,-0.6124,2018-04-02 14:28:01,0.179,0.821,0.0,nytimes,"RT @nytimesworld: Violence has waned in what was the bloodiest day in Gaza since the war of 2014, but both sides have been defending their…"
137,0.1531,2018-04-02 14:18:01,0.142,0.632,0.226,nytimes,The tech industry thinks it has a solution for the problems it created. (It's blockchain.) https://t.co/QeHe17EMUf
138,0.3182,2018-04-02 14:08:03,0.0,0.892,0.108,nytimes,A museum wasn’t sure whose head they had put on display. That’s when the FBI’s forensic scientists were called in. https://t.co/URMhm8SPD9
139,0.7184,2018-04-02 13:58:01,0.0,0.739,0.261,nytimes,"The #MeToo movement has brought down many powerful men. As the fallout continues, it's hitting charities and instit… https://t.co/nEOXLoVy1B"
140,0.0,2018-04-02 17:01:56,0.0,1.0,0.0,FoxNews,"First Lady Melania Trump finishes reading a book called ""You!"" to a group of children during the annual White House… https://t.co/o3fhkMUsCL"
141,-0.8689,2018-04-02 16:44:24,0.43,0.57,0.0,FoxNews,Breaking News: 'Affluenza teen' Ethan Couch released from jail years after drunk driving wreck killed 4 https://t.co/FcL0rkkfhZ
142,-0.8074,2018-04-02 16:28:09,0.422,0.578,0.0,FoxNews,.@alicecooper opens up about mock execution stunt that nearly killed him https://t.co/ZGaL1uasUg
143,-0.3818,2018-04-02 16:17:21,0.214,0.659,0.126,FoxNews,Huge World War II shipwreck raised from the depths in massive salvage operation https://t.co/1KUMk3YfAE
144,-0.2023,2018-04-02 16:15:32,0.101,0.899,0.0,FoxNews,Snow covers the field at Yankee Stadium. The @Yankees’s home opener was postponed due to weather. https://t.co/fyVpU7Xzao
145,0.0,2018-04-02 16:07:37,0.0,1.0,0.0,FoxNews,"Trump blasts 'Justice' Department and FBI for 'slow walking' document production to Congress - via @brookefoxnews 
https://t.co/Bds86O5kzu"
146,-0.3818,2018-04-02 16:02:27,0.157,0.843,0.0,FoxNews,Pregnant woman upset with Disney Cruise Line after family escorted out by armed officer https://t.co/3xuR4VG2i9
147,0.0,2018-04-02 16:00:45,0.0,1.0,0.0,FoxNews,DOW Down Triple Digits https://t.co/TXU9jNglhD
148,0.0,2018-04-02 15:43:25,0.0,1.0,0.0,FoxNews,".@Richardafowler: “When it comes to this dreamer thing, Democrats have been willing to negotiate with the president… https://t.co/Iat1rSohC4"
149,-0.1027,2018-04-02 15:37:21,0.104,0.896,0.0,FoxNews,"Facebook and Google are 'too big,' could be dismantled, French president warns https://t.co/hjIyiHAgTA"
150,0.0,2018-04-02 15:27:47,0.0,1.0,0.0,FoxNews,"Trump suggested White House as potential venue for possible Putin meeting, White House says - via @brookefoxnews 
https://t.co/USN9yJdHbL"
151,0.0,2018-04-02 15:18:39,0.0,1.0,0.0,FoxNews,President @realDonaldTrump raises the arm of the Easter Bunny as they appear together on the South Portico of the W… https://t.co/2YbnDjMmhb
